,user_id,converted,converted
,count,sum,mean
most_ads_hour,,,
0,5536,102,0.02
1,4802,62,0.01
2,5333,39,0.01
3,2679,28,0.01
4,722,11,0.02
5,765,16,0.02
6,2068,46,0.02
7,6405,116,0.02
8,17627,344,0.02
9,31004,595,0.02
10,38939,838,0.02
11,46210,1022,0.02
12,47298,1127,0.02
13,47655,1176,0.02
14,45648,1281,0.03
15,44683,1325,0.03
16,37567,1156,0.03
17,34988,987,0.03
18,32323,885,0.03
19,30352,811,0.03
20,28923,862,0.03
21,29976,867,0.03
22,26432,690,0.03
23,20166,457,0.02
